"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2011-2012","Mid Ulster","End population","Count","140357"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Starting population","Count","172276"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Births","Count","2561"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Deaths","Count","1242"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Natural Change","Count","1319"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Internal Inflows","Count","3039"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Internal Outflows","Count","2843"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Internal Net","Count","196"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","United Kingdom Inflows","Count","869"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","United Kingdom Outflows","Count","1096"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","United Kingdom Net","Count","-227"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Rest of world Inflows","Count","1058"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Rest of world Outflows","Count","888"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Rest of world Net","Count","170"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Total Inflows","Count","4966"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Total Outflows","Count","4827"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Total Net","Count","139"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Other changes","Count","-43"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","Migration and other changes","Count","96"
"Components of population change - Local Government Districts","2011-2012","Newry, Mourne and Down","End population","Count","173691"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Starting population","Count","156943"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Births","Count","1853"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Deaths","Count","1404"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Natural Change","Count","449"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Internal Inflows","Count","2783"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Internal Outflows","Count","2294"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Internal Net","Count","489"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","United Kingdom Inflows","Count","1189"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","United Kingdom Outflows","Count","1349"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","United Kingdom Net","Count","-160"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Rest of world Inflows","Count","643"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Rest of world Outflows","Count","607"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Rest of world Net","Count","36"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Total Inflows","Count","4615"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Total Outflows","Count","4250"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Total Net","Count","365"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Other changes","Count","-120"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","Migration and other changes","Count","245"
"Components of population change - Local Government Districts","2011-2012","Ards and North Down","End population","Count","157637"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Starting population","Count","139157"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Births","Count","1821"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Deaths","Count","1139"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Natural Change","Count","682"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Internal Inflows","Count","4000"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Internal Outflows","Count","3828"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Internal Net","Count","172"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","United Kingdom Inflows","Count","705"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","United Kingdom Outflows","Count","834"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","United Kingdom Net","Count","-129"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Rest of world Inflows","Count","617"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Rest of world Outflows","Count","938"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Rest of world Net","Count","-321"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Total Inflows","Count","5322"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Total Outflows","Count","5600"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Total Net","Count","-278"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Other changes","Count","-25"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","Migration and other changes","Count","-303"
"Components of population change - Local Government Districts","2012-2013","Antrim and Newtownabbey","End population","Count","139536"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Starting population","Count","202398"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Births","Count","3018"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Deaths","Count","1498"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Natural Change","Count","1520"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","3137"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","3446"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Internal Net","Count","-309"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","865"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","1064"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","-199"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1505"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","950"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","555"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Total Inflows","Count","5507"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5460"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Total Net","Count","47"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Other changes","Count","-208"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","-161"
"Components of population change - Local Government Districts","2012-2013","Armagh City, Banbridge and Craigavon","End population","Count","203757"
"Components of population change - Local Government Districts","2012-2013","Belfast","Starting population","Count","333962"
"Components of population change - Local Government Districts","2012-2013","Belfast","Births","Count","4769"
"Components of population change - Local Government Districts","2012-2013","Belfast","Deaths","Count","3115"
"Components of population change - Local Government Districts","2012-2013","Belfast","Natural Change","Count","1654"
"Components of population change - Local Government Districts","2012-2013","Belfast","Internal Inflows","Count","11766"
"Components of population change - Local Government Districts","2012-2013","Belfast","Internal Outflows","Count","11454"
"Components of population change - Local Government Districts","2012-2013","Belfast","Internal Net","Count","312"
"Components of population change - Local Government Districts","2012-2013","Belfast","United Kingdom Inflows","Count","2432"
"Components of population change - Local Government Districts","2012-2013","Belfast","United Kingdom Outflows","Count","2495"
"Components of population change - Local Government Districts","2012-2013","Belfast","United Kingdom Net","Count","-63"
"Components of population change - Local Government Districts","2012-2013","Belfast","Rest of world Inflows","Count","4544"
"Components of population change - Local Government Districts","2012-2013","Belfast","Rest of world Outflows","Count","5608"
"Components of population change - Local Government Districts","2012-2013","Belfast","Rest of world Net","Count","-1064"
"Components of population change - Local Government Districts","2012-2013","Belfast","Total Inflows","Count","18742"
"Components of population change - Local Government Districts","2012-2013","Belfast","Total Outflows","Count","19557"
"Components of population change - Local Government Districts","2012-2013","Belfast","Total Net","Count","-815"
"Components of population change - Local Government Districts","2012-2013","Belfast","Other changes","Count","332"
"Components of population change - Local Government Districts","2012-2013","Belfast","Migration and other changes","Count","-483"
"Components of population change - Local Government Districts","2012-2013","Belfast","End population","Count","335133"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Starting population","Count","141434"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Births","Count","1740"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Deaths","Count","1178"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Natural Change","Count","562"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Internal Inflows","Count","3567"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Internal Outflows","Count","3579"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Internal Net","Count","-12"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","United Kingdom Inflows","Count","826"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","United Kingdom Outflows","Count","938"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","United Kingdom Net","Count","-112"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Rest of world Inflows","Count","639"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Rest of world Outflows","Count","775"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Rest of world Net","Count","-136"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Total Inflows","Count","5032"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Total Outflows","Count","5292"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Total Net","Count","-260"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Other changes","Count","-37"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","Migration and other changes","Count","-297"
"Components of population change - Local Government Districts","2012-2013","Causeway Coast and Glens","End population","Count","141699"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Starting population","Count","148619"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Births","Count","2039"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Deaths","Count","1075"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Natural Change","Count","964"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Internal Inflows","Count","2140"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Internal Outflows","Count","2531"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Internal Net","Count","-391"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","United Kingdom Inflows","Count","773"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","United Kingdom Outflows","Count","944"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","United Kingdom Net","Count","-171"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Rest of world Inflows","Count","643"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Rest of world Outflows","Count","979"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Rest of world Net","Count","-336"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Total Inflows","Count","3556"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Total Outflows","Count","4454"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Total Net","Count","-898"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Other changes","Count","-53"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","Migration and other changes","Count","-951"
"Components of population change - Local Government Districts","2012-2013","Derry City and Strabane","End population","Count","148632"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Starting population","Count","114230"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Births","Count","1447"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Deaths","Count","899"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Natural Change","Count","548"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Internal Inflows","Count","1861"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Internal Outflows","Count","2008"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Internal Net","Count","-147"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","United Kingdom Inflows","Count","677"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","United Kingdom Outflows","Count","859"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","United Kingdom Net","Count","-182"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Rest of world Inflows","Count","711"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Rest of world Outflows","Count","724"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Rest of world Net","Count","-13"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Total Inflows","Count","3249"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Total Outflows","Count","3591"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Total Net","Count","-342"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Other changes","Count","-71"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","Migration and other changes","Count","-413"
"Components of population change - Local Government Districts","2012-2013","Fermanagh and Omagh","End population","Count","114365"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Starting population","Count","136311"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Births","Count","1676"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Deaths","Count","1119"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Natural Change","Count","557"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Internal Inflows","Count","4501"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Internal Outflows","Count","3784"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Internal Net","Count","717"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","United Kingdom Inflows","Count","759"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","United Kingdom Outflows","Count","1022"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","United Kingdom Net","Count","-263"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Rest of world Inflows","Count","503"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Rest of world Outflows","Count","554"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Rest of world Net","Count","-51"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Total Inflows","Count","5763"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Total Outflows","Count","5360"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Total Net","Count","403"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Other changes","Count","-463"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","Migration and other changes","Count","-60"
"Components of population change - Local Government Districts","2012-2013","Lisburn and Castlereagh","End population","Count","136808"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Starting population","Count","135838"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Births","Count","1543"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Deaths","Count","1225"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Natural Change","Count","318"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Internal Inflows","Count","2604"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Internal Outflows","Count","2734"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Internal Net","Count","-130"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","United Kingdom Inflows","Count","697"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","United Kingdom Outflows","Count","805"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","United Kingdom Net","Count","-108"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Rest of world Inflows","Count","651"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Rest of world Outflows","Count","467"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Rest of world Net","Count","184"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Total Inflows","Count","3952"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Total Outflows","Count","4006"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Total Net","Count","-54"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Other changes","Count","-105"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","Migration and other changes","Count","-159"
"Components of population change - Local Government Districts","2012-2013","Mid and East Antrim","End population","Count","135997"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Starting population","Count","140357"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Births","Count","2213"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Deaths","Count","943"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Natural Change","Count","1270"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Internal Inflows","Count","2444"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Internal Outflows","Count","2686"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Internal Net","Count","-242"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","United Kingdom Inflows","Count","494"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","United Kingdom Outflows","Count","605"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","United Kingdom Net","Count","-111"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Rest of world Inflows","Count","1384"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Rest of world Outflows","Count","1086"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Rest of world Net","Count","298"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Total Inflows","Count","4322"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Total Outflows","Count","4377"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Total Net","Count","-55"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Other changes","Count","-243"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","Migration and other changes","Count","-298"
"Components of population change - Local Government Districts","2012-2013","Mid Ulster","End population","Count","141329"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Starting population","Count","173691"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Births","Count","2504"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Deaths","Count","1286"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Natural Change","Count","1218"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Internal Inflows","Count","2996"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Internal Outflows","Count","3107"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Internal Net","Count","-111"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","United Kingdom Inflows","Count","955"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","United Kingdom Outflows","Count","961"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","United Kingdom Net","Count","-6"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Rest of world Inflows","Count","991"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Rest of world Outflows","Count","851"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Rest of world Net","Count","140"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Total Inflows","Count","4942"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Total Outflows","Count","4919"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Total Net","Count","23"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Other changes","Count","-103"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","Migration and other changes","Count","-80"
"Components of population change - Local Government Districts","2012-2013","Newry, Mourne and Down","End population","Count","174829"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Starting population","Count","157637"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Births","Count","1757"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Deaths","Count","1491"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Natural Change","Count","266"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Internal Inflows","Count","2599"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Internal Outflows","Count","2458"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Internal Net","Count","141"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","United Kingdom Inflows","Count","1181"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","United Kingdom Outflows","Count","1288"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","United Kingdom Net","Count","-107"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Rest of world Inflows","Count","548"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Rest of world Outflows","Count","691"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Rest of world Net","Count","-143"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Total Inflows","Count","4328"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Total Outflows","Count","4437"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Total Net","Count","-109"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Other changes","Count","-154"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","Migration and other changes","Count","-263"
"Components of population change - Local Government Districts","2012-2013","Ards and North Down","End population","Count","157640"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Starting population","Count","139536"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Births","Count","1747"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Deaths","Count","1105"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Natural Change","Count","642"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Internal Inflows","Count","3925"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Internal Outflows","Count","4020"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Internal Net","Count","-95"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","United Kingdom Inflows","Count","671"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","United Kingdom Outflows","Count","813"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","United Kingdom Net","Count","-142"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Rest of world Inflows","Count","678"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Rest of world Outflows","Count","804"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Rest of world Net","Count","-126"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Total Inflows","Count","5274"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Total Outflows","Count","5637"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Total Net","Count","-363"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Other changes","Count","151"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","Migration and other changes","Count","-212"
"Components of population change - Local Government Districts","2013-2014","Antrim and Newtownabbey","End population","Count","139966"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Starting population","Count","203757"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Births","Count","2928"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Deaths","Count","1480"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Natural Change","Count","1448"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","3559"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","3600"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Internal Net","Count","-41"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","977"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","985"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","-8"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1680"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","810"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","870"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Total Inflows","Count","6216"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5395"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Total Net","Count","821"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Other changes","Count","-315"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","506"
"Components of population change - Local Government Districts","2013-2014","Armagh City, Banbridge and Craigavon","End population","Count","205711"
"Components of population change - Local Government Districts","2013-2014","Belfast","Starting population","Count","335133"
"Components of population change - Local Government Districts","2013-2014","Belfast","Births","Count","4686"
"Components of population change - Local Government Districts","2013-2014","Belfast","Deaths","Count","2912"
"Components of population change - Local Government Districts","2013-2014","Belfast","Natural Change","Count","1774"
"Components of population change - Local Government Districts","2013-2014","Belfast","Internal Inflows","Count","11697"
"Components of population change - Local Government Districts","2013-2014","Belfast","Internal Outflows","Count","12256"
"Components of population change - Local Government Districts","2013-2014","Belfast","Internal Net","Count","-559"
"Components of population change - Local Government Districts","2013-2014","Belfast","United Kingdom Inflows","Count","2418"
"Components of population change - Local Government Districts","2013-2014","Belfast","United Kingdom Outflows","Count","2699"
"Components of population change - Local Government Districts","2013-2014","Belfast","United Kingdom Net","Count","-281"
"Components of population change - Local Government Districts","2013-2014","Belfast","Rest of world Inflows","Count","4710"
"Components of population change - Local Government Districts","2013-2014","Belfast","Rest of world Outflows","Count","4330"
"Components of population change - Local Government Districts","2013-2014","Belfast","Rest of world Net","Count","380"
"Components of population change - Local Government Districts","2013-2014","Belfast","Total Inflows","Count","18825"
"Components of population change - Local Government Districts","2013-2014","Belfast","Total Outflows","Count","19285"
"Components of population change - Local Government Districts","2013-2014","Belfast","Total Net","Count","-460"
"Components of population change - Local Government Districts","2013-2014","Belfast","Other changes","Count","383"
"Components of population change - Local Government Districts","2013-2014","Belfast","Migration and other changes","Count","-77"
